customer_id,name,age,income,employment_status,region,signup_date
20058,Leon Perez,35,54854,Student,West,2020-03-19 12:42:16
20059,Steven Hickman,75,58561,Student,East,2019-12-23 23:58:58
20060,Chad Tran,77,41907,Unemployed,North,2020-05-25 06:16:35
20061,Brenda Martin,44,38805,Retired,Central,2016-10-11 20:44:01
20062,Karen Jackson,39,34198,Student,West,2019-05-15 02:57:49
20063,Paul Holmes,41,51803,Employed,West,2017-01-20 16:12:02
20064,Jessica Ellis,57,59679,Student,Central,2015-09-11 07:34:58
20065,Joseph Martin,83,59486,Student,East,2016-06-11 08:12:07
20066,Michael Harris,57,43708,Retired,South,2020-08-15 08:04:52
20067,Jaime Collins,23,47088,Employed,East,2018-10-30 12:25:53
20068,Michael Jacobs,35,47028,Employed,North,2016-05-17 18:35:49
20069,Paul Watson,47,42442,Employed,North,2022-11-25 11:41:47
20070,Amy Bolton,38,21088,Student,Central,2017-09-07 23:41:13
20071,Laura Swanson,79,47079,Student,North,2015-03-07 18:57:40
20072,David Lane,27,45518,Self-Employed,North,2016-06-09 22:35:36
20073,Jeffrey Smith,30,49287,Retired,Central,2016-02-26 22:52:56
20074,Sarah Spence,26,42010,Employed,Central,2019-10-09 22:50:22
20075,Reginald Martin,56,54357,Employed,Central,2016-04-26 04:39:36
20076,Jonathan Mendez,41,90626,Self-Employed,Central,2016-07-20 14:55:46
20077,David Schroeder,51,61746,Student,Central,2016-06-21 02:01:51
20078,Kayla Clark,78,42876,Self-Employed,West,2020-03-16 22:19:43
20079,Mr. Steven Thompson DVM,58,46665,Self-Employed,South,2016-04-01 22:09:39
20080,Charles Roberts,22,48293,Student,Central,2021-01-01 11:25:27
20081,Eric Blair,67,51737,Unemployed,South,2019-05-28 21:47:15
20082,Linda Price MD,21,49924,Retired,North,2021-07-31 16:03:55
20083,Timothy Wong,68,43216,Unemployed,West,2017-09-20 03:05:17
20084,Nicole Eaton,69,42441,Unemployed,Central,2019-02-26 13:54:54
20085,Dawn Robinson,56,59679,Retired,West,2016-12-25 04:45:50
20086,Kenneth Smith,25,46062,Unemployed,East,2018-12-26 07:04:17
20087,Nancy Contreras,62,58580,Student,South,2015-09-10 12:09:14
20088,Brooke Gordon,45,46730,Unemployed,Central,2015-03-20 03:13:29
20089,Katrina Larson,44,22940,Unemployed,South,2016-10-03 15:36:49
20090,Joshua Williams,82,34146,Unemployed,South,2020-11-23 04:44:48
20091,Tommy Patterson,51,25993,Student,East,2017-11-01 11:40:22
20092,Richard Osborne,79,53102,Self-Employed,South,2016-10-26 15:22:17
20093,Phillip Brown,79,24512,Employed,North,2017-06-14 21:10:55
20094,Jennifer Hunt,55,42511,Retired,South,2018-02-04 09:53:31
20095,Sabrina Steele,43,44465,Retired,East,2020-09-29 04:39:35
20096,Colleen Hernandez,41,46299,Student,East,2022-02-02 02:21:12
20097,Kristen Garza,56,63207,Employed,Central,2016-04-16 04:55:04
20098,Rebecca Conley,38,65812,Unemployed,North,2018-09-21 11:45:56
20099,John Baker,64,38854,Retired,South,2021-11-05 23:55:19
20100,Gordon Mercer II,65,49712,Unemployed,East,2020-02-12 00:39:10
20101,Juan Vance,30,43678,Student,East,2020-04-27 02:16:40
20102,Tyler Ingram,20,56328,Student,South,2016-01-01 05:47:27
20103,Pamela Miller,49,48752,Student,South,2020-04-09 12:32:23
20104,Frederick Thompson,52,56794,Self-Employed,Central,2018-11-30 15:24:36
20105,Jennifer Perry,36,32999,Student,Central,2022-03-06 21:46:16
20106,Patrick Howard,31,53421,Unemployed,North,2020-05-31 12:06:33
20107,Paula Hampton,65,28954,Self-Employed,Central,2019-08-12 15:40:43
20108,Michelle Martinez,62,38287,Unemployed,Central,2017-07-02 03:18:11
20109,Norma Jackson,36,51518,Student,West,2017-02-28 18:05:37
20110,Sarah Ward,81,20732,Self-Employed,South,2020-04-15 06:58:36
20111,John Davis,83,17187,Employed,Central,2015-08-15 22:18:31
20112,Chase Conner,83,32644,Student,West,2016-04-16 23:48:03
20113,Charles Morgan,62,35914,Self-Employed,West,2022-10-10 23:10:58
20114,Veronica Baker,84,37477,Self-Employed,Central,2019-04-07 02:35:07
20115,Hannah Campbell DDS,20,42136,Self-Employed,East,2015-01-19 00:00:20
20116,Tiffany Murray,55,54599,Retired,Central,2019-05-14 15:47:55
20117,Erin Harrison,59,79395,Self-Employed,Central,2015-01-01 12:56:58
20118,Jessica Martin,57,40578,Employed,South,2021-08-17 04:23:25
20119,Gail Gonzalez,67,55720,Student,East,2019-09-11 03:37:51
20120,Susan Evans,52,68679,Student,North,2021-03-08 07:05:27
20121,James Sweeney,41,65997,Student,Central,2015-09-29 18:57:08
20122,Nathan Knight,34,38219,Self-Employed,Central,2022-12-24 00:55:18
20123,Ashley Clark,57,63096,Student,South,2019-08-04 08:30:35
20124,Thomas Williams,83,69359,Employed,North,2016-10-14 12:32:39
20125,Isaac Hernandez,61,72963,Retired,West,2018-10-11 15:44:41
20126,Michael Contreras,40,73527,Employed,East,2016-07-18 06:59:08
20127,Haley Harris,23,33496,Retired,North,2019-02-25 18:04:31
20128,Gary Maldonado,83,53595,Student,Central,2022-11-05 05:28:52
20129,Ashley Chavez,38,39644,Unemployed,West,2019-06-13 03:26:46
20130,Mary Burns,52,30404,Retired,South,2016-02-06 16:30:55
20131,Andrew Terry,46,57178,Employed,Central,2019-03-19 09:01:09
20132,Linda Warner,24,53016,Employed,South,2018-11-03 17:36:13
20133,Jody Thomas,70,52563,Unemployed,East,2021-03-10 05:03:03
20134,David Hughes PhD,54,42877,Retired,South,2017-05-28 02:22:20
20135,Johnny Fleming,40,86736,Retired,North,2016-04-15 17:32:28
20136,Daniel Blackwell,25,72633,Employed,North,2016-01-26 19:36:47
20137,John Steele,65,43721,Retired,East,2020-05-31 09:20:56
20138,Roy Brown,27,49646,Unemployed,East,2022-11-20 04:30:35
20139,Michael Hayes,41,57429,Retired,East,2015-04-07 21:50:00
20140,Patrick Odom,64,65409,Retired,North,2018-05-09 20:38:59
20141,Crystal Barton,70,57233,Unemployed,Central,2020-04-23 19:23:54
20142,Christian Johnson,56,51720,Student,North,2019-05-26 05:41:52
20143,Alan Rodriguez,84,28738,Retired,South,2021-10-24 19:05:57
20144,Gregory Campbell,83,79444,Employed,East,2015-06-04 22:39:04
20145,Stephanie Perry,23,40533,Self-Employed,West,2016-12-04 06:58:08
20146,Melissa Cunningham,38,65918,Employed,North,2022-02-23 02:24:47
20147,James Wright,53,50471,Employed,West,2015-11-27 11:33:19
20148,Sarah Gibson,20,68752,Student,Central,2022-07-10 08:22:48
20149,Nathan Johnson,59,30485,Student,North,2015-09-30 03:59:40
20150,Denise Costa,62,40471,Employed,Central,2019-01-18 04:59:34
20151,Jacob Harper,61,47895,Retired,Central,2019-11-24 00:36:27
20152,Richard Gonzalez,50,36248,Employed,North,2019-02-07 01:05:19
20153,Garrett Ross,77,41949,Retired,North,2020-07-05 16:56:38
20154,Bridget Johnson,43,69367,Unemployed,Central,2022-10-18 06:53:22
20155,Jessica Heath,38,58287,Unemployed,East,2019-05-20 12:13:44
20156,Cynthia Pittman,19,71715,Student,North,2021-04-03 11:17:45
20157,Todd Marquez,64,50980,Self-Employed,Central,2021-03-17 23:55:33
20158,Jeffrey Carr,47,47617,Self-Employed,South,2015-11-20 01:17:15
20159,Jessica George,44,30383,Student,West,2022-12-25 15:19:38
20160,David Wood,37,65715,Unemployed,South,2015-09-15 20:19:12
20161,Denise Edwards,67,47581,Student,North,2018-01-01 18:40:41
20162,David Baker,40,52919,Unemployed,North,2020-09-16 17:16:50
20163,Samantha Lopez,30,41610,Retired,North,2021-09-24 18:31:14
20164,Jerry Taylor,21,92687,Unemployed,North,2017-12-23 21:46:44
20165,Joseph Rose,31,51845,Unemployed,South,2019-11-29 18:36:53
20166,Shane Duncan,37,39275,Unemployed,East,2022-08-07 13:03:56
20167,Jeff Austin,30,32610,Self-Employed,Central,2020-01-01 06:47:22
20168,Lori Swanson,20,57924,Unemployed,Central,2018-09-02 12:49:20
20169,Wayne Hicks,64,38699,Employed,Central,2017-10-29 22:29:41
20170,Dennis Stark,20,43232,Retired,West,2015-04-02 23:31:02
20171,Lisa Mcdaniel,18,27082,Self-Employed,North,2020-05-13 23:30:54
20172,Cheyenne Webb,41,51006,Employed,South,2017-10-23 07:32:43
20173,Rebecca Smith,52,50844,Self-Employed,South,2022-12-21 05:02:41
20174,Sherri Jackson,31,77868,Self-Employed,South,2015-11-15 04:23:21
20175,Sheri Cunningham,84,41961,Employed,East,2021-05-01 17:23:31
20176,Aimee Martinez,30,17042,Student,North,2022-07-13 02:10:35
20177,Jessica Shaw,64,46665,Student,Central,2017-03-14 13:28:23
20178,Michael Watson,67,69543,Unemployed,Central,2019-06-23 09:16:11
20179,Adam Wyatt,43,59157,Employed,North,2018-02-15 17:51:59
20180,Jacqueline Yang,20,66294,Unemployed,Central,2019-07-19 22:27:59
20181,Denise Wilson,68,56780,Student,Central,2021-04-01 13:30:38
20182,Rhonda Reed,57,43418,Employed,North,2016-04-27 09:08:47
20183,Marc Barnes,53,33135,Employed,South,2021-12-16 01:11:33
20184,Anthony Case,68,35259,Employed,West,2015-04-23 11:53:58
20185,Shelly Martin,18,40968,Unemployed,North,2020-10-12 21:46:07
20186,Amy Foster,50,59510,Self-Employed,Central,2017-05-27 07:42:52
20187,James Park PhD,24,48793,Self-Employed,Central,2022-10-30 22:47:16
20188,Kenneth Johnson,69,23011,Self-Employed,West,2020-11-21 22:30:19
20189,Lauren Rodriguez,28,54802,Employed,West,2019-03-01 07:50:31
20190,John Turner,44,68340,Student,West,2018-06-16 06:33:52
20191,Amanda Chen,31,26329,Unemployed,North,2015-07-08 04:51:46
20192,Thomas Mitchell,63,58246,Unemployed,South,2015-03-19 23:11:56
20193,Krystal Ortega,27,18334,Student,West,2015-11-02 21:42:13
20194,Valerie Wilson,41,36863,Self-Employed,East,2020-06-09 05:18:47
20195,Cynthia White,78,30744,Retired,South,2021-08-08 14:55:37
20196,Meghan Frazier,35,60269,Student,West,2015-01-06 21:45:03
20197,Calvin Reynolds,26,74968,Self-Employed,Central,2018-12-10 12:36:31
20198,Jordan Young,34,65931,Employed,North,2015-01-13 10:35:38
20199,Ashley Moore,75,65423,Student,Central,2018-08-12 04:03:53
20200,Maria Davis,30,36028,Self-Employed,Central,2019-10-12 04:14:55
20201,Alexander Franklin,67,58743,Unemployed,North,2019-02-15 02:05:38
20202,Amber Mosley,23,53592,Retired,South,2016-05-17 20:32:33
20203,Katherine Barber,68,32368,Retired,Central,2017-08-04 03:15:21
20204,James Henderson,53,66140,Retired,South,2015-09-18 21:24:27
20205,Michael Hall,42,56506,Self-Employed,North,2017-06-08 07:40:31
20206,Sandra Hernandez,28,46717,Self-Employed,West,2017-05-27 22:39:26
20207,Amanda Burgess,61,62318,Employed,Central,2015-10-06 13:55:49
20208,Eric Richmond,31,52219,Retired,Central,2022-04-17 00:59:31
20209,Juan Thompson,46,68017,Unemployed,North,2022-03-16 18:34:16
20210,Brian Estrada,67,78320,Retired,North,2022-09-24 20:14:55
20211,Hannah Stephens,22,45812,Student,West,2016-08-31 00:39:23
20212,Philip Taylor,74,45647,Student,North,2021-08-27 12:45:23
20213,Diana Smith,43,42638,Unemployed,East,2015-01-27 21:25:03
20214,Jonathon Long,23,50260,Self-Employed,East,2020-04-06 12:26:23
20215,Tonya Mullins,33,70264,Retired,North,2019-04-24 15:32:46
20216,Jamie Fisher,77,34085,Student,West,2022-04-24 14:28:53
20217,Darren Glover,29,29443,Unemployed,East,2022-12-23 11:01:29
20218,Paul Jackson,20,53539,Employed,Central,2020-10-12 18:13:39
20219,Kenneth Harris,80,49438,Student,West,2019-04-19 23:17:09
20220,Cody Montgomery,81,52895,Student,North,2020-11-16 06:42:49
20221,Jesse Davis,79,20653,Retired,East,2019-05-03 05:47:56
20222,Dawn Green,23,73119,Self-Employed,West,2015-10-13 01:55:55
20223,Mark Rodriguez,36,53079,Student,Central,2019-01-24 07:53:02
20224,Justin Williams,35,86703,Student,North,2015-01-09 10:17:54
20225,Robert Cook,60,56202,Retired,South,2015-07-13 18:06:58
20226,Troy Miller,20,43978,Self-Employed,East,2021-01-07 18:33:22
20227,Billy Mcdonald,55,53824,Employed,Central,2018-07-04 02:59:37
20228,Megan Bridges,61,72193,Employed,West,2017-11-24 05:54:15
20229,Erin Lewis,80,39192,Employed,East,2019-08-27 21:15:04
20230,Christopher Garza,59,58767,Employed,East,2020-07-29 08:22:38
20231,Kayla Marks,81,56566,Self-Employed,North,2021-03-12 09:04:16
20232,Stacey Young,71,58910,Employed,Central,2020-11-01 12:03:37
20233,Robert Dodson,54,36365,Retired,East,2020-04-25 21:25:52
20234,Isabel Chapman,21,59563,Retired,East,2021-09-10 07:38:06
20235,Thomas Padilla,19,58434,Retired,Central,2019-09-30 14:25:20
20236,Ashley Smith,61,73501,Employed,West,2021-04-16 08:59:10
20237,Edward Hall,84,76594,Retired,North,2016-05-17 04:14:48
20238,Catherine Kemp,79,55594,Retired,East,2020-11-10 03:04:27
20239,Megan Thompson,18,53437,Unemployed,Central,2016-01-03 20:20:25
20240,Susan Moore,34,35591,Employed,South,2022-07-07 21:24:49
20241,Ashley Edwards,33,47049,Retired,West,2022-03-25 10:04:53
20242,Melissa Mitchell,26,43163,Self-Employed,North,2019-05-07 04:21:55
20243,Jordan Schneider,70,64635,Retired,South,2022-05-25 20:53:28
20244,Ryan Lewis,76,54609,Unemployed,West,2018-08-26 01:52:11
20245,Michael Pierce,26,35270,Self-Employed,East,2021-02-13 00:12:29
20246,Christian Espinoza,29,37374,Self-Employed,North,2019-08-10 09:39:18
20247,David Taylor,58,88278,Student,West,2019-07-05 03:04:54
20248,Don Dennis,32,43570,Unemployed,West,2019-10-14 16:57:54
20249,Michael Barnett,83,60156,Unemployed,West,2017-02-15 10:58:57
20250,Stephanie Roberson,28,50332,Retired,West,2015-08-13 23:05:06
20251,Andrew Bruce,25,46259,Unemployed,South,2022-02-07 13:47:10
20252,Jerry Smith,72,67586,Self-Employed,North,2017-11-02 16:07:58
20253,Joshua Barker,23,43179,Self-Employed,East,2022-01-15 21:46:35
20254,Cathy Coleman,70,45470,Retired,North,2018-05-14 08:02:24
20255,William Rhodes,37,70622,Self-Employed,South,2019-01-03 22:12:16
20256,Peter Herrera,56,44229,Retired,North,2018-05-20 08:29:36
20257,Donna Griffin,51,28909,Student,South,2015-05-08 02:16:29
20258,Michelle Moses,74,33082,Unemployed,South,2018-05-09 09:46:53
20259,Michael Reeves,36,57717,Unemployed,South,2022-12-29 12:56:34
20260,Jeffery Sloan,48,39482,Unemployed,South,2020-05-19 11:14:24
20261,Thomas Rivas,57,66948,Student,West,2018-11-11 02:51:34
20262,Cheryl Collins,31,50314,Unemployed,North,2015-06-04 20:09:12
20263,Deborah Rodriguez,54,61434,Student,Central,2021-04-14 16:16:39
20264,Katie Schwartz,61,55307,Student,South,2016-07-08 01:58:37
20265,Dennis Freeman,26,65896,Retired,South,2020-06-27 07:59:55
20266,Cheryl Alvarez,75,78256,Employed,North,2021-06-14 01:19:03
20267,Erica Reed,37,58471,Employed,West,2017-08-22 14:46:40
20268,Leslie Hamilton MD,67,57739,Retired,East,2015-05-22 05:01:31
20269,Lisa Bridges,37,66682,Retired,South,2015-05-04 22:06:49
20270,Misty Burns,53,41541,Retired,West,2021-02-27 23:22:40
20271,Thomas Sullivan,44,58122,Unemployed,West,2021-10-06 05:27:09
20272,Lisa Burton,49,36170,Self-Employed,Central,2020-04-06 01:15:22
20273,Tracy Alexander,18,38616,Retired,South,2020-06-16 12:59:57
20274,Brandon Chapman,34,42863,Student,West,2021-03-26 23:10:37
20275,Jordan Tran,26,69028,Employed,Central,2015-01-31 21:25:28
20276,Michelle Kim,62,47895,Unemployed,West,2022-08-27 23:11:23
20277,Mr. Joseph Elliott,83,38289,Self-Employed,Central,2021-05-07 00:59:02
20278,Diane Thomas,49,61388,Employed,Central,2020-08-18 00:50:52
20279,Ronald Smith,62,25291,Employed,Central,2020-10-30 10:01:28
20280,Todd Valencia,26,21933,Employed,West,2018-06-29 07:15:13
20281,Megan Harper,47,46205,Student,East,2019-01-14 17:02:18
20282,Alison Wheeler,55,45974,Student,North,2016-10-28 12:23:11
20283,Dr. Wanda Reynolds,77,65651,Student,Central,2019-09-25 20:39:56
20284,Adam Miller,18,68005,Self-Employed,South,2017-06-26 07:14:35
20285,Dr. Elizabeth Townsend,22,48477,Employed,North,2015-08-05 00:51:49
20286,Denise Sanchez,80,46879,Retired,East,2020-02-10 06:48:29
20287,Michelle Chambers,53,38355,Self-Employed,North,2022-07-09 06:17:37
20288,Erica Edwards,82,48351,Student,North,2021-08-29 05:27:13
20289,Ronald Harris,41,11645,Student,East,2021-06-23 13:29:11
20290,Kelsey Cruz,21,43228,Student,South,2015-03-10 04:05:11
20291,Mark Bryant,42,48788,Unemployed,Central,2017-10-07 03:35:30
20292,Kristy Horton,24,38224,Employed,West,2018-08-09 21:45:41
20293,Shannon Meadows,30,40344,Retired,South,2016-08-23 04:40:53
20294,Sharon Mcconnell,60,45517,Employed,South,2021-01-16 18:53:57
20295,Kayla Robles,74,49902,Self-Employed,Central,2022-10-10 10:26:15
20296,Alexis Phillips,53,62942,Unemployed,South,2016-05-09 22:35:20
20297,Sarah Neal,31,56396,Self-Employed,South,2015-07-03 21:51:45
20298,Joshua Hayes,44,63217,Student,North,2019-01-28 08:09:08
20299,Tamara Richards,54,58590,Student,North,2019-06-17 15:55:49
20300,Kevin Jones,42,51720,Retired,East,2021-11-21 16:25:07
20301,Beverly Anderson,84,83473,Employed,East,2022-01-15 01:48:03
20302,Benjamin Campos,21,39258,Self-Employed,East,2018-12-28 22:27:12
20303,Jill Lee,33,36304,Student,West,2022-01-13 20:56:10
20304,Bianca Young,36,47710,Retired,Central,2017-12-30 09:38:34
20305,Mr. Bobby Caldwell,46,49096,Retired,West,2020-01-11 14:08:22
20306,Kyle Reed,68,52069,Self-Employed,West,2022-07-21 18:24:23
20307,Jonathan Thompson,35,35685,Employed,East,2018-01-13 19:41:40
20308,Larry Smith,75,79359,Unemployed,Central,2022-06-22 06:11:41
20309,Laura Johnson,61,44820,Retired,West,2021-01-15 05:13:54
20310,Andrew Johnson,33,35544,Self-Employed,North,2016-05-20 09:40:13
20311,Timothy Keith,82,53963,Student,West,2021-10-14 23:22:00
20312,Samuel Allen,19,66434,Unemployed,North,2018-11-20 02:43:16
20313,Michael Potts,73,74163,Unemployed,West,2020-04-17 23:12:27
20314,Christopher Short,45,14026,Employed,Central,2018-12-17 04:06:33
20315,Michelle Patton,82,61509,Self-Employed,North,2019-09-12 19:31:58
20316,Jonathan Davis,22,76353,Employed,North,2018-08-11 07:25:15
20317,Jamie Rodriguez,39,41071,Retired,East,2019-07-30 04:48:51
20318,Amanda Atkinson,30,46525,Retired,North,2015-07-10 18:42:15
20319,Amanda Smith,82,35770,Self-Employed,West,2022-08-07 11:04:03
20320,Lauren Torres,33,41610,Student,West,2015-12-26 16:46:20
20321,Ashley Johnson,81,34021,Retired,East,2020-11-29 11:01:42
20322,Scott Williams,49,64021,Retired,South,2019-03-31 16:55:24
20323,Abigail Houston,68,48406,Student,North,2017-06-26 19:57:58
20324,Heather Barker,75,4945,Unemployed,North,2017-04-09 16:53:20
20325,John Turner,63,40956,Self-Employed,North,2021-12-18 07:47:39
20326,Michael Gallagher,69,39640,Unemployed,West,2019-12-31 08:27:27
20327,Tara Davis,80,62831,Employed,Central,2022-08-19 08:31:07
20328,Heather Sharp,77,48983,Student,Central,2016-03-12 21:22:31
20329,Jonathan Torres,82,48583,Self-Employed,Central,2018-12-15 04:29:48
20330,Jillian Green,72,59643,Student,East,2022-09-16 15:55:31
20331,Amy Brewer,74,65866,Student,East,2017-06-17 01:44:04
20332,Randall Burns,43,54013,Unemployed,West,2018-03-12 05:08:51
20333,Lisa Smith,29,40189,Unemployed,Central,2018-01-11 04:08:16
20334,Joshua Stephens,63,27424,Employed,South,2015-05-08 14:33:01
20335,Lisa Petersen,64,71749,Self-Employed,North,2022-12-15 13:36:44
20336,Kelly Cordova,55,100836,Student,Central,2018-10-07 21:43:14
20337,Dennis Tyler,38,51860,Employed,South,2020-02-13 07:41:07
20338,Amber Stevens,31,54745,Student,North,2015-08-24 08:55:50
20339,Daniel Nguyen,19,72562,Employed,North,2019-12-26 14:16:43
20340,Kyle Taylor,50,24309,Student,East,2019-03-16 23:27:59
20341,Keith Schultz,23,64312,Unemployed,South,2022-11-18 01:22:14
20342,Cheryl Walsh,54,55636,Retired,Central,2022-12-16 13:15:44
20343,Patrick Jackson,31,38462,Employed,Central,2018-06-10 11:28:12
20344,Erin Strong,54,42199,Employed,West,2017-12-07 08:31:31
20345,Daniel Newman,25,30267,Retired,South,2018-08-29 12:21:55
20346,Debra Heath,30,66876,Unemployed,North,2022-07-15 09:40:08
20347,Michele Adams,57,34403,Employed,East,2015-08-14 10:52:26
20348,Jade Kim,75,56180,Unemployed,West,2016-01-28 17:27:47
20349,Krista Hill,35,25604,Student,East,2017-10-21 04:03:14
20350,Lisa Johnson,74,70917,Student,North,2022-07-20 02:09:32
20351,Bailey Lopez,55,46926,Retired,North,2017-10-10 21:29:42
20352,William Grant,49,66083,Self-Employed,East,2017-12-01 20:37:54
20353,David Montgomery,83,46821,Unemployed,West,2015-07-21 13:12:23
20354,Gregory Moore,42,40895,Self-Employed,North,2017-11-14 02:51:31
20355,Rachael Ramirez,75,29892,Self-Employed,Central,2017-11-30 00:35:39
20356,Jerry Johnson,50,65806,Unemployed,Central,2018-07-16 18:29:07
20357,Ashley Higgins,83,44544,Self-Employed,Central,2022-09-22 09:34:19
20358,James Turner,47,54454,Employed,West,2020-08-11 09:52:32
20359,Gina Adams,51,39380,Student,West,2017-11-21 22:34:40
20360,Todd Dixon,65,49744,Retired,South,2019-09-11 22:43:09
20361,Wendy Lopez,57,53080,Unemployed,South,2019-12-22 02:03:21
20362,Kimberly Scott,68,23669,Retired,Central,2018-11-09 15:27:47
20363,Dalton Harris,30,39768,Student,East,2015-09-17 03:46:52
20364,Jeremy Barajas,48,73625,Retired,East,2021-11-01 22:59:04
20365,Angela Anderson,56,37739,Unemployed,Central,2019-06-01 00:04:04
20366,Erin Davis,80,63535,Retired,South,2016-06-10 13:56:02
20367,Laura Jackson MD,65,54894,Self-Employed,West,2017-11-25 10:10:15
20368,Christopher Patel,65,57669,Self-Employed,East,2021-05-16 16:03:03
20369,Robin Nguyen,78,59506,Student,West,2019-05-24 21:45:50
20370,Sabrina Robles,29,50305,Self-Employed,Central,2015-09-14 08:55:08
20371,Tyler Lynn,73,41464,Retired,West,2015-03-08 18:17:31
20372,Herbert Lester,35,38826,Employed,East,2020-07-11 14:33:43
20373,Colleen Hobbs,44,45039,Retired,South,2020-11-12 00:42:03
20374,Brianna Lee,45,68757,Employed,East,2021-09-11 15:57:43
20375,Melissa Lewis,69,29661,Retired,North,2019-02-04 04:48:33
20376,Alexandra Powell,33,45327,Employed,West,2018-05-03 10:21:24
20377,Brian Chung,75,27280,Employed,West,2016-01-22 05:47:18
20378,William Phillips,26,41267,Unemployed,West,2022-06-05 02:01:54
20379,Jeremy Hernandez,43,48136,Unemployed,Central,2022-09-01 11:20:05
20380,Rachel Reynolds,45,70923,Retired,Central,2021-01-06 12:59:45
20381,Briana Parker,53,72549,Self-Employed,East,2018-01-23 13:15:10
20382,Frank Hurst,26,23039,Unemployed,South,2016-11-10 08:48:31
